symbol,sector
JTEKTINDIA,Automobile and Auto Components
JUBLFOOD,Consumer Services
JUBLPHARMA,Healthcare
JUSTDIAL,Consumer Services
JYOTHYLAB,Fast Moving Consumer Goods
KAJARIACER,Consumer Durables
KPIL,Construction
KSL,Metals & Mining
KAMAHOLD,Financial Services
KANSAINER,Consumer Durables
KTKBANK,Financial Services
KSCL,Fast Moving Consumer Goods
KEC,Construction
KEI,Capital Goods
KENNAMET,Capital Goods
KIRIINDUS,Chemicals
KIRLOSENG,Capital Goods
KITEX,Textiles
KNRCON,Construction
KOLTEPATIL,Realty
KOTAKBANK,Financial Services
KPITTECH,Information Technology
KPRMILL,Textiles
KRBL,Fast Moving Consumer Goods
KSB,Capital Goods
LT,Construction
LTF,Financial Services
LTTS,Information Technology
LGBBROSLTD,Automobile and Auto Components
LAOPALA,Consumer Durables
LAURUSLABS,Healthcare
LEMONTREE,Consumer Services
LICHSGFIN,Financial Services
LINDEINDIA,Chemicals
LTFOODS,Fast Moving Consumer Goods
LUPIN,Healthcare
LUXIND,Textiles
M&M,Automobile and Auto Components
MAHSCOOTER,Financial Services
MGL,Oil Gas & Consumable Fuels
MAHSEAMLES,Capital Goods
M&MFIN,Financial Services
MHRIL,Consumer Services
MAHLIFE,Realty
MAHLOG,Services
MANAPPURAM,Financial Services
MANGLMCEM,Construction Materials
MARICO,Fast Moving Consumer Goods
MARKSANS,Healthcare
MARUTI,Automobile and Auto Components
MASFIN,Financial Services
MASTEK,Information Technology
MFSL,Financial Services
MAYURUNIQ,Textiles
METROPOLIS,Healthcare
MINDACORP,Automobile and Auto Components
MIDHANI,Capital Goods
MMTC,Services
MOIL,Metals & Mining
MOLDTKPAC,Chemicals
MOREPENLAB,Healthcare
MOTILALOFS,Financial Services
MPHASIS,Information Technology
MRF,Automobile and Auto Components
MRPL,Oil Gas & Consumable Fuels
MSTCLTD,Services
MCX,Financial Services
MUTHOOTFIN,Financial Services
NATIONALUM,Metals & Mining
NH,Healthcare
NATCOPHARM,Healthcare
NFL,Chemicals
NAVA,Power
NAVINFLUOR,Chemicals
NAVNETEDUL,Media Entertainment & Publication
NBCC,Construction
NCC,Construction
NEOGEN,Chemicals
NESCO,Services
NESTLEIND,Fast Moving Consumer Goods
NETWORK18,Media Entertainment & Publication
NEULANDLAB,Healthcare
NEWGEN,Information Technology
NHPC,Power
NILKAMAL,Consumer Durables
NAM-INDIA,Financial Services
NIRLON,Realty
NLCINDIA,Power
NMDC,Metals & Mining
NOCIL,Chemicals
NOVARTIND,Healthcare
NRBBEARING,Automobile and Auto Components
NTPC,Power
NUCLEUS,Information Technology
OBEROIRLTY,Realty
OIL,Oil Gas & Consumable Fuels
OMAXE,Realty
ONGC,Oil Gas & Consumable Fuels
OFSS,Information Technology
ORIENTCEM,Construction Materials
ORIENTELEC,Consumer Durables
PGHH,Fast Moving Consumer Goods
PAGEIND,Textiles
PAISALO,Financial Services
PANACEABIO,Healthcare
PARAGMILK,Fast Moving Consumer Goods
PATELENG,Construction
PCJEWELLER,Consumer Durables
PCBL,Chemicals
PERSISTENT,Information Technology
PETRONET,Oil Gas & Consumable Fuels
PFIZER,Healthcare
PHOENIXLTD,Realty
